Instance,Opt Gap,Time(s)
inst_400commods_42_4.txt,0.005319946,1.4786349
inst_400commods_42_5.txt,0.006882888,3.4288106
inst_400commods_48_1.txt,0.006504401,3.5006002
inst_400commods_48_2.txt,0.009867079,2.3603619
inst_400commods_48_3.txt,0,1.3540855
inst_400commods_48_4.txt,0.007047839,2.1112166
inst_400commods_48_5.txt,0.009017291,1.7856429
inst_400commods_6_1.txt,0,0.3636215
inst_400commods_6_2.txt,4.87E-04,0.3782556
inst_400commods_6_3.txt,8.25E-16,0.3776257
inst_400commods_6_4.txt,0,0.4827894
inst_400commods_6_5.txt,0.002582599,0.6556474
inst_450commods_12_1.txt,0,0.4435614
inst_450commods_12_2.txt,0.007287645,0.4557189
inst_450commods_12_3.txt,0.001772618,0.4253931
inst_450commods_12_4.txt,0,0.4374564
inst_450commods_12_5.txt,0.001245391,0.4415066
inst_450commods_18_1.txt,0.002795853,0.422092
inst_450commods_18_2.txt,0.003306105,0.4706582
inst_450commods_18_3.txt,0.003517214,0.5217977
inst_450commods_18_4.txt,0,0.4567317
inst_450commods_18_5.txt,0.003570033,0.4531351
inst_450commods_24_1.txt,0.007800444,1.0324543
inst_450commods_24_2.txt,0.009045453,1.6633911
inst_450commods_24_3.txt,0.009976061,2.3449451
inst_450commods_24_4.txt,0.009156265,5.1207012
inst_450commods_24_5.txt,0.009591347,1.6360539
inst_450commods_30_1.txt,0.008078573,1.2466201
inst_450commods_30_2.txt,0.007672294,1.3021981
inst_450commods_30_3.txt,0.009644216,1.4555067
inst_450commods_30_4.txt,0.007054615,4.0547992
inst_450commods_30_5.txt,0.004196424,1.7821449
inst_450commods_36_1.txt,0.007580868,3.1017733
inst_450commods_36_2.txt,8.76E-04,1.0882423
inst_450commods_36_3.txt,0.004920174,1.6731175
inst_450commods_36_4.txt,0.005757743,4.7681501
inst_450commods_36_5.txt,0.008519108,1.2946122
inst_450commods_42_1.txt,0.006830157,1.197781
inst_450commods_42_2.txt,0.009176101,2.9194747
inst_450commods_42_3.txt,0.009953565,2.6816733
inst_450commods_42_4.txt,0.009265681,3.1091084
inst_450commods_42_5.txt,0.00992149,1.7250813
inst_450commods_48_1.txt,0.005961988,2.1628665
inst_450commods_48_2.txt,0.008364915,4.9127555
inst_450commods_48_3.txt,0.003267619,1.859886
inst_450commods_48_4.txt,0.007956055,15.5737195
inst_450commods_48_5.txt,0.005071007,1.6816557
inst_450commods_6_1.txt,0.001348965,0.4062403
inst_450commods_6_2.txt,9.22E-16,0.434515
inst_450commods_6_3.txt,0.004871561,0.4219166
inst_450commods_6_4.txt,0.004555447,0.4541827
